City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kruisfontein,-34.0033,24.7314,12.71,90,23,1.79,ZA,1667264247
1,barrow,71.2906,-156.7887,-21.99,84,0,5.14,US,1667263729
2,kodiak,57.79,-152.4072,0.44,46,2,13.69,US,1667264248
3,faya,18.3851,42.4509,13.06,61,5,1.1,SA,1667264248
4,ushuaia,-54.8,-68.3,4.81,87,75,9.77,AR,1667263732
5,norman wells,65.282,-126.8329,-14.98,78,75,7.2,CA,1667264248
6,atuona,-9.8,-139.0333,24.93,71,1,5.13,PF,1667264249
7,constitucion,-35.3333,-72.4167,17.01,40,0,3.98,CL,1667264249
8,busselton,-33.65,115.3333,16.5,66,92,3.11,AU,1667263725
9,punta arenas,-53.15,-70.9167,8.06,81,100,10.29,CL,1667264249
10,sambava,-14.2667,50.1667,21.02,88,56,3.26,MG,1667264250
11,kapaa,22.0752,-159.319,28.99,75,20,7.2,US,1667263723
12,mackenzie,55.2999,-123.1698,1.12,69,75,2.57,CA,1667264250
13,rikitea,-23.1203,-134.9692,21.91,79,30,6.15,PF,1667264250
14,saint-philippe,-21.3585,55.7679,19.77,83,40,4.76,RE,1667264251
15,cherskiy,68.75,161.3,-24.08,98,100,2.3,RU,1667264251
16,hermanus,-34.4187,19.2345,13.78,76,2,9.72,ZA,1667263733
17,marondera,-18.1853,31.5519,14.25,81,37,2.69,ZW,1667264252
18,mataura,-46.1927,168.8643,18.6,44,100,2.02,NZ,1667263728
19,hithadhoo,-0.6,73.0833,27.22,78,84,6.0,MV,1667264252
20,albany,42.6001,-73.9662,15.4,74,100,0.34,US,1667263564
21,tagusao,9.1924,117.8141,27.24,80,100,2.03,PH,1667264252
22,faanui,-16.4833,-151.75,25.53,79,96,4.04,PF,1667264253
23,cape town,-33.9258,18.4232,16.06,57,0,8.05,ZA,1667263722
24,vaini,-21.2,-175.2,28.09,83,75,3.6,TO,1667264253
25,gushi,34.6425,109.5843,15.13,54,0,3.61,CN,1667264253
26,isangel,-19.55,169.2667,31.06,66,40,1.54,VU,1667263968
27,akhmim,26.5622,31.745,18.11,40,11,3.16,EG,1667264254
28,lompoc,34.6391,-120.4579,18.34,86,99,1.34,US,1667264254
29,bluff,-46.6,168.3333,18.78,64,100,3.85,NZ,1667264254
30,kununurra,-15.7667,128.7333,31.99,15,5,7.2,AU,1667264255
31,seoul,37.5683,126.9778,13.69,97,75,1.03,KR,1667264138
32,saldanha,-33.0117,17.9442,16.03,68,0,6.36,ZA,1667264255
33,san quintin,30.4833,-115.95,19.61,74,68,3.76,MX,1667264255
34,wajima,37.4,136.9,16.38,88,75,0.0,JP,1667264256
35,cosala,24.4125,-106.6908,19.58,77,1,0.49,MX,1667264256
36,college,64.8569,-147.8028,-11.9,87,37,0.05,US,1667264256
37,beloha,-25.1667,45.05,21.34,97,28,2.11,MG,1667264257
38,tuatapere,-46.1333,167.6833,20.64,41,100,4.3,NZ,1667264257
39,puerto ayora,-0.7393,-90.3518,19.56,86,82,4.41,EC,1667263721
40,sabang,5.8933,95.3214,27.28,72,100,3.28,ID,1667264257
41,butaritari,3.0707,172.7902,27.36,74,84,5.03,KI,1667264258
42,blagoveshchenka,52.8333,79.8667,1.1,75,100,2.61,RU,1667264258
43,chuy,-33.6971,-53.4616,7.89,69,6,3.91,UY,1667263719
44,aklavik,68.2191,-135.0107,-19.45,99,98,1.27,CA,1667264258
45,castro,-24.7911,-50.0119,16.05,98,98,2.82,BR,1667264066
46,volchikha,52.0333,80.3833,0.26,85,100,1.9,RU,1667264259
47,sola,-13.8833,167.55,31.37,70,40,3.09,VU,1667264259
