id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,Company_location,company_location_3Char,comp_size,Experience,Emply_Type,Country_Company,Country_Emply,Company_size,Category,Remote_Work,Machine_learning
0,2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,DEU,L,Mid-level Intermediate ,Full-time ,Germany,Germany,Large_Greater_than_250_Emp,Scientist,0-20%,Not ML
1,2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,JPN,S,Senior-level Expert ,Full-time ,Japan,Japan,Small_Less_than_50_Emp,Scientist,0-20%,ML Professional
2,2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,GBR,M,Senior-level Expert ,Full-time ,United Kingdom,United Kingdom,Medium_Between_50_and_250_Emp,Engineer,20-80%,Not ML
3,2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,HND,S,Mid-level Intermediate ,Full-time ,Honduras,Honduras,Small_Less_than_50_Emp,Analysis,0-20%,Not ML
4,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,USA,L,Senior-level Expert ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,20-80%,ML Professional
5,2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,USA,L,Entry-level Junior ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
6,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,USA,S,Senior-level Expert ,Full-time ,United States of America,United States of America,Small_Less_than_50_Emp,Scientist,80-100%,Not ML
7,2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,HUN,L,Mid-level Intermediate ,Full-time ,Hungary,Hungary,Large_Greater_than_250_Emp,Scientist,20-80%,Not ML
8,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
9,2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,NZL,S,Senior-level Expert ,Full-time ,New Zealand,New Zealand,Small_Less_than_50_Emp,Engineer,20-80%,Not ML
10,2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,FRA,S,Entry-level Junior ,Full-time ,France,France,Small_Less_than_50_Emp,Scientist,0-20%,Not ML
11,2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,IND,L,Mid-level Intermediate ,Full-time ,India,India,Large_Greater_than_250_Emp,Scientist,0-20%,Not ML
12,2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,FRA,M,Entry-level Junior ,Full-time ,France,France,Medium_Between_50_and_250_Emp,Scientist,0-20%,Not ML
13,2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
14,2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
15,2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,PAK,L,Mid-level Intermediate ,Full-time ,Pakistan,Pakistan,Large_Greater_than_250_Emp,Analysis,20-80%,Not ML
16,2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,JPN,S,Entry-level Junior ,Full-time ,Japan,Japan,Small_Less_than_50_Emp,Engineer,80-100%,Not ML
17,2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,GBR,S,Senior-level Expert ,Full-time ,United Kingdom,Poland,Small_Less_than_50_Emp,Engineer,80-100%,Not ML
18,2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,IND,M,Entry-level Junior ,Full-time ,India,India,Medium_Between_50_and_250_Emp,Scientist,20-80%,Not ML
19,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,USA,M,Mid-level Intermediate ,Full-time ,United States of America,Part-time ,Medium_Between_50_and_250_Emp,Engineer,80-100%,Not ML
20,2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,CHN,M,Mid-level Intermediate ,Full-time ,China,China,Medium_Between_50_and_250_Emp,Engineer,0-20%,ML Professional
21,2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,IND,L,Mid-level Intermediate ,Full-time ,India,India,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
22,2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,GRC,L,Senior-level Expert ,Full-time ,Greece,Greece,Large_Greater_than_250_Emp,Engineer,20-80%,Not ML
23,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,USA,M,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Analysis,0-20%,Not ML
24,2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,ARE,L,Mid-level Intermediate ,Full-time ,United Arab Emirates,United Arab Emirates,Large_Greater_than_250_Emp,Scientist,0-20%,Not ML
25,2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,USA,L,Executive-level Director,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Scientist,80-100%,Not ML
26,2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,NLD,L,Entry-level Junior ,Full-time ,Netherlands,Netherlands,Large_Greater_than_250_Emp,Scientist,20-80%,Not ML
27,2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,MEX,S,Senior-level Expert ,Full-time ,Mexico,Mexico,Small_Less_than_50_Emp,Engineer,0-20%,Not ML
28,2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,USA,L,Entry-level Junior ,Contract ,United States of America,United States of America,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
29,2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,CAN,L,Senior-level Expert ,Full-time ,Canada,Canada,Large_Greater_than_250_Emp,Other,20-80%,ML Professional
